date,price,count,market_cnt
20260130,5249.0,1379,8
20260202,5239.0,1988,5
20260203,5343.0,1792,7
20260204,5600.0,884,8
20260205,5977.0,1879,8
20260206,5490.0,1215,6
20260209,5254.0,2390,7
20260210,5336.0,2179,8
20260211,5139.0,1957,8
20260212,4949.0,2017,8
20260213,,1008,2
20260219,,533,4
20260220,,175,2
20260223,5322.0,1749,7
20260224,5498.0,1572,5
20260225,5336.0,1811,7
20260226,5319.0,1620,8
20260227,5092.0,1218,5
20260302,,1744,3
20260303,5255.0,2070,8
20260304,5270.0,1974,8
20260305,5262.0,1980,8
20260306,,107,2
20260309,5125.0,1826,6
20260310,5211.0,2031,8
20260311,5180.0,1725,8
20260312,5073.0,2011,8
20260313,4997.0,943,5
20260316,5055.0,1827,6
20260317,5511.0,1561,8
20260318,5264.0,797,7
20260319,5580.0,1303,8
20260320,5187.0,1261,5
20260323,5178.0,1906,8
20260324,5245.0,1963,8
20260325,5262.0,1656,8
20260326,5242.0,1548,7
20260327,5115.0,942,5
20260330,5284.0,1641,6
20260331,5358.0,1641,8
20260401,5458.0,1514,8
20260402,5488.0,1577,8
20260403,5288.0,784,5
20260406,5614.0,1400,8
20260407,5752.0,1566,8
20260408,5891.0,1409,8
20260409,5918.0,1308,8
20260410,5860.0,674,5
20260413,6185.0,1390,7
20260414,6334.0,1410,8
20260415,6404.0,1316,7
20260416,6480.0,1290,7
20260417,6177.0,701,5
20260420,6619.0,1333,6
20260421,6584.0,1699,5
20260422,6498.0,1511,8
20260423,6372.0,1448,6
20260424,6322.0,831,5
20260427,6587.0,1643,8
20260428,6628.0,1832,8
20260429,6500.0,1754,7
20260430,6214.0,1517,7
20260504,6341.0,2057,8
20260505,6351.0,1584,5
20260506,6419.0,2003,8
20260507,6278.0,1605,8
20260508,,115,3
20260511,6450.0,1592,8
20260512,6463.0,1561,8
20260513,6404.0,1710,6
20260514,6480.0,1573,8
20260515,6366.0,606,5
20260518,6582.0,1707,7
20260519,6541.0,1692,8
20260520,6451.0,1546,8
20260521,6457.0,1713,7
20260522,6323.0,958,6
20260525,,1463,2
20260526,6401.0,2011,8
20260527,6221.0,1853,8
20260528,6104.0,1906,8
20260529,,160,3
20260601,6298.0,2038,8
20260602,6369.0,2040,8
20260604,6507.0,1869,8
